user_id,gender,birth_year,province,city,age,out_degree,in_degree,total_degree
1832205887,m,1990,四川,None,36,89,0,89
1737245804,m,1982,吉林,长春,44,153,0,153
2157991124,m,1976,四川,成都,50,0,0,0
2758890931,f,1983,黑龙江,哈尔滨,43,0,0,0
1802646764,m,1981,湖南,长沙,45,17,0,17
2689158192,m,2012,广东,惠州,14,0,0,0
2174872865,m,1992,河南,None,34,51,0,51
2620064335,m,1987,内蒙古,乌兰察布市,39,0,0,0
2384265237,m,1986,北京,怀柔区,40,0,0,0
1148490452,m,1980,江苏,常州,46,1536,0,1536
1501537123,f,1972,江苏,南京,54,712,0,712
1824554193,f,1987,河南,郑州,39,272,0,272
2608359511,m,1992,北京,海淀区,34,0,0,0
1906540813,m,1963,四川,成都,63,167,0,167
2551897037,f,1988,北京,丰台区,38,230,0,230
1434980175,m,1987,北京,朝阳区,39,37,0,37
3238126224,m,1993,None,None,33,0,0,0
2392463044,m,1973,广东,广州,53,0,0,0
1232357440,m,1984,广东,清远,42,6,0,6
1747993413,f,1989,江苏,镇江,37,18,0,18
2414876742,f,1992,海南,海口,34,0,0,0
1885606850,m,1987,广东,东莞,39,31,0,31
1667189253,m,1989,北京,None,37,323,0,323
2339842461,m,1988,吉林,吉林,38,3100,0,3100
1635599723,f,1991,湖北,武汉,35,264,0,264
2568660411,f,1985,辽宁,沈阳,41,0,0,0
2566245461,f,1980,广东,佛山,46,0,0,0
1926567041,m,1991,贵州,贵阳,35,495,0,495
1784069294,m,1989,内蒙古,呼和浩特,37,9,0,9
1371242507,m,1987,湖北,武汉,39,0,0,0
1188663713,m,1987,北京,朝阳区,39,243,0,243
2359047693,m,1977,天津,南开区,49,0,0,0
2470415655,m,1979,天津,None,47,32,0,32
1455054060,m,1974,辽宁,鞍山,52,26,0,26
2783102842,m,1989,河北,承德,37,0,0,0
1569696712,m,1986,湖南,长沙,40,0,0,0
1259665552,f,1986,江苏,南通,40,291,0,291
1851492211,m,1989,上海,长宁区,37,328,0,328
2554223121,f,1985,上海,闵行区,41,0,0,0
2556475431,m,1986,河南,南阳,40,60,0,60
2042479307,m,1988,湖北,武汉,38,0,0,0
1060826655,f,1968,澳门,花地玛堂区,58,292,0,292
1883901472,m,1990,山东,潍坊,36,237,0,237
2279217071,m,1984,北京,东城区,42,223,0,223
1373489457,f,1991,广东,佛山,35,2,0,2
2184314913,f,1990,北京,大兴区,36,0,0,0
1686651900,m,1985,广东,深圳,41,1,0,1
1781505577,f,1985,广东,深圳,41,444,0,444
1748702867,m,1979,浙江,杭州,47,114,0,114
1896571557,m,1991,广东,深圳,35,110,0,110
1859536483,m,1991,北京,丰台区,35,120,0,120
2374993503,m,1992,陕西,西安,34,0,0,0
2664316803,m,1988,北京,顺义区,38,800,0,800
1430390205,m,1985,福建,福州,41,24,0,24
1607785321,m,1990,广东,深圳,36,0,0,0
1594696924,m,1980,上海,松江区,46,0,0,0
3092571294,m,1984,浙江,杭州,42,0,0,0
2266407050,m,1988,广东,江门,38,0,0,0
2631354283,m,1973,上海,闵行区,53,0,0,0
1732334767,m,1979,四川,成都,47,78,0,78
1889885897,f,1990,辽宁,锦州,36,51,0,51
1241675227,f,1989,北京,通州区,37,13,0,13
1293478172,m,1988,湖南,株洲,38,0,0,0
1787735945,f,1982,北京,宣武区,44,134,0,134
1350985673,m,1987,广东,深圳,39,0,0,0
1719632457,f,1990,河南,周口,36,179,0,179
1565829113,f,1989,浙江,嘉兴,37,3,0,3
2797914753,m,1992,山东,青岛,34,0,0,0
1613108451,m,1989,北京,朝阳区,37,26,0,26
1899538205,m,1989,浙江,宁波,37,170,0,170
1316352060,m,1987,北京,丰台区,39,181,0,181
1734094450,f,1986,北京,海淀区,40,336,0,336
1763430721,m,1984,山西,大同,42,488,0,488
1224744067,m,1974,河南,洛阳,52,4,0,4
2848417114,f,1984,广东,珠海,42,0,0,0
2508702183,m,1993,北京,西城区,33,13,0,13
1898184517,f,1988,贵州,None,38,113,0,113
2784471460,m,1985,四川,成都,41,0,0,0
3215965367,f,1990,河北,石家庄,36,0,0,0
2336510900,f,1988,河北,沧州,38,28,0,28
2378075602,m,1979,河北,廊坊,47,0,0,0
1439337317,m,1979,河南,郑州,47,37,0,37
3288754810,m,1994,None,None,32,0,0,0
2806229264,m,1991,福建,宁德,35,0,0,0
1829977841,m,1982,None,None,44,28,0,28
2425229475,m,1997,广东,潮州,29,0,0,0
1684765294,f,1988,北京,朝阳区,38,277,0,277
2759248172,m,1990,浙江,杭州,36,0,0,0
1950832423,m,1990,四川,南充,36,60,0,60
2202863717,m,1983,上海,杨浦区,43,0,0,0
1842698572,f,1984,上海,静安区,42,104,0,104
1326594255,f,1987,北京,海淀区,39,1310,2,1312
3174853983,f,1994,山东,济南,32,0,0,0
